1. Doanh thu bán hàng và cung cấp dịch vụ,"5,672,126,363,409","6,834,181,383,787","7,138,804,848,615","8,146,869,581,144",Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
2. Các khoản giảm trừ doanh thu,"5,646,747,345","8,262,859,189","34,430,711,072","26,681,706,948","14,449,460,351","17,260,990,645","25,562,539,124","34,024,627,352","19,347,008,581","21,848,218,411","-38,122,342,631","10,716,804,222","1,578,576,209","647,568,105","220,532,395","11,036,523,655","1,642,375,241","150,868,182","86,909,091","5,393,881,434","368,983,777",,"69,575,353,943","43,247,573,048"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"5,666,479,616,064","6,825,918,524,598","7,104,374,137,543","8,120,187,874,196","6,630,564,911,438","6,980,002,498,337","7,553,128,504,072","8,666,704,612,977","7,586,327,669,954","8,641,707,284,821","8,725,171,956,972","10,704,055,633,280","9,730,253,844,391","10,096,060,090,959","11,148,559,020,353","13,042,426,271,109","11,681,378,883,303","12,484,364,264,902","13,761,744,975,857","14,690,412,703,323","14,092,928,413,699",,"15,902,821,715,757","17,607,817,805,892"
4. Giá vốn hàng bán,"3,387,149,316,396","4,247,788,982,478","4,321,648,868,311","5,049,159,596,679","4,006,186,532,912","4,258,247,824,386","4,554,350,312,294","5,195,783,662,734","4,691,800,715,286","5,181,318,450,067","5,474,243,222,947","6,609,687,457,941","5,776,932,551,838","6,080,957,072,181","6,789,073,328,096","7,801,152,486,947","7,113,499,882,609","7,850,539,957,865","8,265,376,008,841","9,058,549,143,162","8,582,462,733,612",,"9,743,866,051,351","11,128,844,453,966"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"2,279,330,299,668","2,578,129,542,120","2,782,725,269,232","3,071,028,277,517","2,624,378,378,526","2,721,754,673,951","2,998,778,191,778","3,470,920,950,243","2,894,526,954,668","3,460,388,834,754","3,250,928,734,025","4,094,368,175,339","3,953,321,292,553","4,015,103,018,778","4,359,485,692,257","5,241,273,784,162","4,567,879,000,694","4,633,824,307,037","5,496,368,967,016","5,631,863,560,161","5,510,465,680,087",,"6,158,955,664,406","6,478,973,351,926"
6. Doanh thu hoạt động tài chính,"153,577,698,004","164,115,058,319","165,793,907,640","206,123,383,314","178,339,694,711","202,241,950,450","218,188,627,566","223,126,152,055","325,440,423,279","240,540,286,743","332,266,541,305","372,542,134,940","415,786,301,903","506,153,596,903","549,704,414,876","526,329,659,816","676,476,546,426","623,044,115,643","516,203,046,415","520,345,470,835","457,092,979,986",,"326,689,006,856","576,398,372,443"
7. Chi phí tài chính,"121,303,122,605","204,225,331,566","130,422,355,652","171,720,224,922","181,045,734,457","106,159,096,432","108,899,945,949","152,060,434,779","141,136,993,354","361,830,175,777","272,888,215,242","366,884,116,683","267,572,525,432","336,841,342,149","413,926,492,214","644,381,295,008","496,815,340,139","287,498,451,679","406,428,287,129","527,556,384,763","334,065,273,301",,"308,178,806,879","831,375,395,433"
- Trong đó: Chi phí lãi vay,"72,702,857,836","72,389,484,923","100,505,919,296","120,746,859,238","99,625,907,809","101,366,297,422","85,791,923,680","98,553,625,985","99,817,213,604","124,530,447,801","120,148,949,616","138,051,289,994","145,819,741,163","176,780,202,334","166,542,329,315","156,583,283,497","147,985,668,274","212,364,005,360","265,654,864,395","206,644,073,232","137,833,720,086",,"128,825,950,601","134,854,268,998"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết","94,803,959,655","124,252,626,107","119,413,684,118","66,457,196,433","80,123,998,402","69,375,800,441","67,778,123,792","94,915,649,543","115,085,619,364","149,843,474,585","147,867,487,076","272,533,380,299","208,830,242,201","86,152,785,186","91,215,132,079","98,197,938,512","43,757,073,944","-65,748,307,687","39,896,110,382","58,146,301,170","74,454,138,017",,"142,580,948,775","117,814,322,579"
9. Chi phí bán hàng,"488,586,048,888","566,455,497,992","559,023,139,084","727,169,234,250","620,220,561,506","606,378,140,166","627,451,667,728","858,582,754,238","852,114,921,328","829,919,009,383","804,023,830,463","1,225,942,020,370","1,007,092,497,146","1,016,359,820,282","1,131,402,372,888","1,481,341,041,915","1,101,871,534,159","1,238,296,534,096","1,434,174,354,947","1,316,156,285,395","1,368,948,625,743",,"1,563,862,943,636","1,684,353,616,264"
10. Chi phí quản lý doanh nghiệp,"980,588,763,923","931,280,807,507","1,031,084,693,003","1,309,144,643,796","954,039,290,004","1,012,792,679,359","1,178,990,862,353","1,355,121,201,405","961,763,590,894","1,135,363,718,331","1,071,115,122,466","1,406,871,909,119","1,530,572,234,992","1,418,038,122,633","1,461,418,832,201","1,761,816,901,184","1,592,492,464,630","1,475,558,757,945","1,773,504,449,852","1,979,944,371,544","1,823,471,776,014",,"1,807,957,864,952","1,735,410,040,472"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"937,234,021,911","1,164,535,589,481","1,347,402,673,251","1,135,574,754,296","1,127,536,485,672","1,268,042,508,885","1,369,402,467,106","1,423,198,361,419","1,380,037,491,735","1,523,659,692,591","1,583,035,594,235","1,739,745,644,406","1,772,700,579,087","1,836,170,115,803","1,993,657,541,909","1,978,262,144,383","2,096,933,282,136","2,189,766,371,273","2,438,361,031,885","2,386,698,290,464","2,515,527,123,032",,"2,948,226,004,570","2,922,046,994,779"
12. Thu nhập khác,"34,065,047,811","9,543,483,977","34,369,794,908","82,751,354,248","19,137,086,947","28,388,165,756","38,544,844,655","45,331,089,591","23,250,469,269","20,800,020,853","59,501,680,279","29,667,007,222","31,763,099,753","39,323,957,365","46,394,199,264","67,004,874,960","42,879,374,489","46,978,996,702","46,849,960,698","64,518,573,767","44,782,907,585",,"34,674,999,189","40,936,158,299"
13. Chi phí khác,"10,932,348,107","-4,549,676,842","13,301,440,288","61,262,096,656","4,383,703,792","10,937,566,638","22,068,339,875","21,209,410,608","6,536,749,667","4,995,194,970","3,964,502,630","9,010,426,161","25,415,832,160","17,649,446,736","12,026,921,249","56,238,388,429","19,169,009,527","18,612,734,628","56,060,532,724","16,124,064,640","26,727,976,065",,"74,280,370,385","3,315,661,986"
14. Lợi nhuận khác(40=31-32),"23,132,699,704","14,093,160,819","21,068,354,620","21,489,257,592","14,753,383,155","17,450,599,118","16,476,504,780","24,121,678,983","16,713,719,602","15,804,825,883","55,537,177,649","20,656,581,061","6,347,267,593","21,674,510,629","34,367,278,015","10,766,486,531","23,710,364,962","28,366,262,074","-9,210,572,026","48,394,509,127","18,054,931,520",,"-39,605,371,196","37,620,496,313"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"960,366,721,615","1,178,628,750,300","1,368,471,027,871","1,157,064,011,888","1,142,289,868,827","1,285,493,108,003","1,385,878,971,886","1,447,320,040,402","1,396,751,211,337","1,539,464,518,474","1,638,572,771,884","1,760,402,225,467","1,779,047,846,680","1,857,844,626,432","2,028,024,819,924","1,989,028,630,914","2,120,643,647,098","2,218,132,633,347","2,429,150,459,859","2,435,092,799,591","2,533,582,054,552",,"2,908,620,633,374","2,959,667,491,092"
16. Chi phí thuế TNDN hiện hành,"168,144,970,817","195,218,949,865","207,591,704,145","191,033,987,289","204,460,980,777","186,395,040,913","238,992,006,582","307,035,001,474","224,526,320,456","276,489,905,177","238,201,206,888","217,583,188,887","264,151,335,856","284,120,033,909","306,452,921,896","335,964,806,453","308,330,144,701","337,905,337,939","344,595,196,181","424,981,344,481","389,755,423,988",,"441,224,951,554","536,403,680,028"
17. Chi phí thuế TNDN hoãn lại,"-1,701,077,956","-2,757,431,817","1,167,367,480","-5,880,124,990","866,313,198","14,876,078,695","-1,744,406,809","-112,303,662,813","21,522,267,377","3,308,163,405","25,756,489,578","-16,995,648,309","-23,661,603,650","12,150,301,089","-34,425,563,561","33,171,856,353","2,514,048,503","24,645,039,772","8,685,907,653","-41,129,315,871","-16,438,659,078",,"-11,201,940,680","-70,238,663,874"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"793,922,828,754","986,167,232,252","1,159,711,956,246","971,910,149,589","936,962,574,852","1,084,221,988,395","1,148,631,372,113","1,252,588,701,741","1,150,702,623,504","1,259,666,449,892","1,374,615,075,418","1,559,814,684,889","1,538,558,114,474","1,561,574,291,434","1,755,997,461,589","1,619,891,968,108","1,809,799,453,894","1,855,582,255,636","2,075,869,356,025","2,051,240,770,981","2,160,265,289,642",,"2,478,597,622,500","2,493,502,474,938"
19. Lợi nhuận sau thuế công ty mẹ,"626,304,276,321","791,704,283,229","960,108,010,842","757,233,806,198","747,105,139,040","878,710,517,512","928,887,800,638","982,843,692,181","906,142,681,183","1,000,031,075,983","1,124,838,737,907","1,301,522,104,628","1,238,879,424,986","1,250,820,478,811","1,453,716,280,969","1,351,601,105,816","1,493,562,580,890","1,509,219,531,243","1,739,340,360,244","1,728,399,961,335","1,798,030,863,528",,"2,088,852,212,408","2,086,993,221,115"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,"167,618,552,433","194,462,949,023","199,603,945,404","214,676,343,391","189,857,435,812","205,511,470,883","219,743,571,475","269,745,009,560","244,559,942,321","259,635,373,909","249,776,337,511","258,292,580,261","299,678,689,488","310,753,812,623","302,281,180,620","268,290,862,292","316,236,873,004","346,362,724,393","336,528,995,781","322,840,809,646","362,234,426,114",,"389,745,410,092","406,509,253,823"
21. Lãi cơ bản trên cổ phiếu(*),"1,021","1,171","1,418",710,"1,101","1,121","1,187",857,"1,156","1,105","1,242","1,001","1,365","1,145","1,329","1,235","1,361","1,373","1,373",925,"1,416",,"1,430",994
22. Lãi suy giảm trên cổ phiếu (*),"1,021","1,171","1,418",710,"1,101","1,121","1,187",857,"1,156","1,105","1,242","1,001","1,365","1,145","1,329","1,235","1,361","1,373","1,373",925,"1,416",,"1,430",994
