1. Doanh thu bán hàng và cung cấp dịch vụ,"15,179,972,721,712","15,330,983,908,774","15,349,518,976,186","18,282,088,440,464",Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
2. Các khoản giảm trừ doanh thu,"216,722,214,264","233,718,346,934","262,487,576,044","306,785,764,611","218,353,026,228","272,033,734,890","283,050,075,571","387,101,508,420","282,137,468,282","321,417,002,616","244,621,297,616","337,394,219,341","346,532,197,261","291,704,455,646","337,385,691,779","385,913,871,540","276,697,371,823","303,114,703,307","281,628,655,637","540,762,991,718","240,210,036,506","380,758,333,336","344,091,771,518","741,215,175,825"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"14,963,250,507,448","15,097,265,561,840","15,087,031,400,142","17,975,302,675,853","19,232,707,946,043","20,422,201,946,373","24,685,562,425,834","25,778,071,108,467","31,176,874,687,620","35,118,355,099,565","38,673,828,690,685","44,710,731,501,475","44,058,146,671,026","37,422,054,617,017","34,103,341,328,754","25,825,731,843,835","26,588,751,786,987","29,496,383,378,315","28,484,087,800,597","34,383,804,927,755","30,852,359,591,717","39,555,509,827,454","33,956,260,285,527","34,490,982,426,689"
4. Giá vốn hàng bán,"12,342,336,489,604","12,070,461,588,036","12,385,057,811,865","15,139,622,033,638","15,469,649,574,389","16,716,699,660,689","19,516,497,107,892","19,510,833,657,232","22,993,832,748,581","23,641,296,035,968","26,812,929,844,272","35,123,321,817,532","33,949,820,289,803","30,882,432,369,940","33,102,613,774,299","26,710,981,787,039","24,912,314,686,658","26,301,396,413,465","24,889,281,213,593","29,912,194,884,366","26,698,376,631,120","34,308,029,337,809","29,225,083,561,286","30,126,073,473,488"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"2,620,914,017,844","3,026,803,973,804","2,701,973,588,277","2,835,680,642,215","3,763,058,371,654","3,705,502,285,684","5,169,065,317,942","6,267,237,451,235","8,183,041,939,039","11,477,059,063,597","11,860,898,846,413","9,587,409,683,943","10,108,326,381,223","6,539,622,247,077","1,000,727,554,455","-885,249,943,204","1,676,437,100,329","3,194,986,964,850","3,594,806,587,004","4,471,610,043,389","4,153,982,960,597","5,247,480,489,645","4,731,176,724,241","4,364,908,953,201"
6. Doanh thu hoạt động tài chính,"91,858,567,531","123,100,591,056","138,550,988,697","122,443,551,198","108,979,890,041","395,036,836,210","247,689,080,794","355,499,934,411","898,307,295,649","446,309,785,935","879,414,139,300","856,740,188,535","768,925,488,108","661,960,999,623","886,166,660,043","1,540,966,414,075","903,451,916,285","740,212,965,360","850,624,544,181","732,316,277,875","751,955,374,195","645,060,096,530","528,453,174,917","700,557,465,070"
7. Chi phí tài chính,"240,829,520,527","305,054,468,608","328,517,389,602","312,174,332,179","823,113,673,484","621,297,893,776","708,511,948,435","786,899,253,782","767,768,026,036","821,220,734,774","968,278,197,988","1,183,606,068,306","1,111,142,568,904","2,032,730,784,240","2,309,009,013,940","1,688,209,772,675","1,330,510,709,605","1,348,755,733,077","1,438,378,265,232","1,127,386,435,227","1,060,613,282,413","1,065,091,915,406","832,902,574,260","1,015,139,809,937"
- Trong đó: Chi phí lãi vay,"185,199,221,610","215,389,146,860","265,895,204,863","270,226,645,026","481,082,874,292","523,373,576,010","540,809,441,828","662,031,175,138","621,546,963,567","599,661,392,906","675,107,905,208","629,506,996,556","596,932,887,294","717,352,725,484","836,700,531,276","932,651,987,764","989,588,839,615","1,028,566,971,432","855,978,191,830","710,943,681,004","635,618,987,620","564,134,360,513","525,114,798,901","562,492,663,846"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,"-1,431,313,615","-2,157,276,978","16,345,909,889","-5,495,008,340","-6,728,992,807","-9,691,518,945","6,426,058,619","7,748,388,045","-17,624,854","-1,144,987,057","72,319,473",,,,,,,,,,
9. Chi phí bán hàng,"192,602,494,567","269,462,575,465","226,510,475,946","184,758,038,710","257,877,328,351","259,293,030,237","294,052,388,783","283,146,891,052","414,275,498,764","411,553,847,487","582,851,131,543","711,387,745,434","576,981,269,053","737,356,533,537","635,242,109,016","716,226,175,696","476,983,465,069","539,813,064,291","577,844,331,409","366,721,269,183","640,378,790,675","746,509,647,378","720,208,188,679","230,212,058,532"
10. Chi phí quản lý doanh nghiệp,"121,634,447,535","105,833,495,534","150,483,484,286","191,052,158,467","153,206,137,477","155,261,261,079","167,706,846,097","214,239,003,023","206,277,440,053","373,276,114,859","235,856,196,047","508,851,797,720","263,579,264,674","118,971,733,588","294,163,545,703","342,729,735,482","280,501,386,549","331,614,130,813","301,003,551,619","394,171,267,892","317,278,495,246","389,417,899,107","321,501,544,741","517,318,083,678"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"2,157,706,122,746","2,469,554,025,253","2,135,013,227,140","2,268,708,350,442","2,635,683,845,405","3,081,032,846,691","4,240,988,207,081","5,331,723,244,982","7,683,336,750,890","10,323,744,211,031","10,961,075,848,180","8,040,286,636,164","8,924,403,779,643","4,312,596,514,808","-1,351,520,454,161","-2,091,449,212,982","491,893,455,391","1,715,017,002,029","2,128,204,982,925","3,315,647,348,962","2,887,667,766,458","3,691,521,124,284","3,385,017,591,478","3,302,796,466,124"
12. Thu nhập khác,"128,120,764,891","159,805,460,096","179,267,698,034","191,951,258,126","153,255,313,509","153,423,818,878","174,867,506,767","172,494,695,071","159,049,266,440","190,546,702,744","216,647,473,407","230,422,663,333","192,553,043,388","251,188,220,126","197,501,561,354","230,781,900,058","146,475,629,211","190,562,727,467","203,224,277,209","231,710,831,608","508,375,467,854","205,176,515,397","220,917,018,524","225,300,683,318"
13. Chi phí khác,"114,886,658,964","149,546,892,759","153,366,194,692","175,662,950,554","131,847,938,898","138,735,283,444","143,984,077,820","173,968,642,319","152,172,822,839","164,838,725,649","198,967,251,890","232,353,037,621","194,852,967,124","184,444,245,606","145,936,403,389","217,880,608,832","106,326,294,835","203,692,775,730","157,199,138,242","162,789,302,822","134,827,877,439","163,471,969,916","193,549,476,158","241,423,685,732"
14. Lợi nhuận khác(40=31-32),"13,234,105,927","10,258,567,337","25,901,503,342","16,288,307,572","21,407,374,611","14,688,535,434","30,883,428,947","-1,473,947,248","6,876,443,601","25,707,977,095","17,680,221,517","-1,930,374,288","-2,299,923,736","66,743,974,520","51,565,157,965","12,901,291,226","40,149,334,376","-13,130,048,263","46,025,138,967","68,921,528,786","373,547,590,415","41,704,545,481","27,367,542,366","-16,123,002,414"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"2,170,940,228,673","2,479,812,592,590","2,160,914,730,482","2,284,996,658,014","2,657,091,220,016","3,095,721,382,125","4,271,871,636,028","5,330,249,297,734","7,690,213,194,491","10,349,452,188,126","10,978,756,069,697","8,038,356,261,876","8,922,103,855,907","4,379,340,489,328","-1,299,955,296,196","-2,078,547,921,756","532,042,789,767","1,701,886,953,766","2,174,230,121,892","3,384,568,877,748","3,261,215,356,873","3,733,225,669,765","3,412,385,133,844","3,286,673,463,710"
16. Chi phí thuế TNDN hiện hành,"388,694,004,651","445,462,416,749","397,723,133,076","371,428,377,293","368,205,805,026","368,137,200,148","498,845,055,302","547,344,027,784","805,753,712,197","787,307,055,464","722,192,722,593","540,052,856,913","567,893,829,684","316,513,449,092","149,072,645,439","-32,459,684,129","295,418,907,438","207,379,564,722","214,353,855,084","356,399,560,815","415,478,064,702","419,294,315,425","427,815,885,551","503,217,741,562"
17. Chi phí thuế TNDN hoãn lại,"-28,203,565,782","-15,665,475,929","-31,221,367,630","-9,803,630,181","-15,875,165,058","-27,977,565,819","-12,096,167,595","122,183,789,401","-121,099,563,674","-183,006,289,525","-94,280,850,080","78,903,139,004","147,879,669,400","40,253,660,370","336,679,438,404","-47,320,935,492","-146,605,725,742","46,682,549,251","-40,486,817,524","59,198,534,048","-23,445,310,301","-5,643,364,205","-37,102,736,610","-26,135,956,217"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"1,810,449,789,804","2,050,015,651,770","1,794,412,965,036","1,923,371,910,902","2,304,760,580,048","2,755,561,747,796","3,785,122,748,321","4,660,721,480,549","7,005,559,045,968","9,745,151,422,187","10,350,844,197,184","7,419,400,265,959","8,206,330,356,823","4,022,573,379,866","-1,785,707,380,039","-1,998,767,302,135","383,229,608,071","1,447,824,839,793","2,000,363,084,332","2,968,970,782,885","2,869,182,602,472","3,319,574,718,545","3,021,671,984,903","2,809,591,678,365"
19. Lợi nhuận sau thuế công ty mẹ,"1,800,794,242,450","2,035,194,136,815","1,754,755,716,941","1,917,005,836,995","2,285,286,919,162","2,742,826,923,551","3,772,707,270,949","4,637,854,585,297","6,977,554,343,152","9,721,406,525,008","10,351,739,079,315","7,427,443,249,985","8,216,960,357,730","4,032,232,311,020","-1,774,133,616,408","-1,991,548,498,312","397,497,275,202","1,460,042,613,098","2,004,745,086,782","2,972,779,359,274","2,870,588,692,991","3,319,263,141,862","3,022,946,632,050","2,806,801,098,966"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,"9,655,547,354","14,821,514,955","39,657,248,095","6,366,073,907","19,473,660,886","12,734,824,245","12,415,477,372","22,866,895,252","28,004,702,816","23,744,897,179","-894,882,131","-8,042,984,026","-10,630,000,907","-9,658,931,154","-11,573,763,631","-7,218,803,823","-14,267,667,131","-12,217,773,305","-4,382,002,450","-3,808,576,389","-1,406,090,519","311,576,683","-1,274,647,147","2,790,579,399"
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,
